fid,Modal,area
1,Road,7573.21
2,Road,6901.76
3,Road,8096.6
4,Road,2253.7
5,Road,821.63
6,Road,5363.14
7,Road,3497.7
8,Road,270
9,Road,4299.02
10,Road,1598.71
11,Road,2367.2
12,Road,5529.79
13,Road,1316.02
14,Road,1253.64
15,Bike,903.67
16,Bike,15.73
17,Bike,375.62
18,Bike,80.89
19,Bike,47.81
20,Bike,53.25
21,Bike,682.64
22,Bike,454.73
23,Bike,110.49
24,Bike,806.33
25,Pedestrian,728.59
26,Pedestrian,519.99
27,Pedestrian,591.36
28,Pedestrian,1141.74
29,Pedestrian,552.04
30,Pedestrian,345.22
31,Pedestrian,53.33
32,Pedestrian,824.93
33,Pedestrian,951.37
34,Pedestrian,1942.69
35,Pedestrian,2412.13
36,Pedestrian,1454.07
37,Pedestrian,83.82
38,Pedestrian,46.49
39,Pedestrian,549.99
40,Pedestrian,43.14
41,Pedestrian,82.37
42,Pedestrian,1044.51
43,Pedestrian,69.96
44,Pedestrian,75.14
45,Pedestrian,53.8
46,Pedestrian,32.49
47,Pedestrian,29.4
48,Pedestrian,563.02
49,Pedestrian,13.85
50,Pedestrian,11.6
51,Pedestrian,131.13
52,Tram,5998.82
