fid,Modal,area
1,Pedestrian,13.99
2,Pedestrian,4978.66
3,Pedestrian,10.98
4,Pedestrian,3366.11
5,Pedestrian,1046.05
6,Pedestrian,129.36
7,Pedestrian,61.67
8,Pedestrian,100.79
9,Pedestrian,578.93
10,Pedestrian,94.55
11,Pedestrian,29.38
12,Pedestrian,978.18
13,Pedestrian,98.66
14,Pedestrian,4586.67
15,Pedestrian,1074.03
16,Pedestrian,20.43
17,Pedestrian,17.09
18,Pedestrian,668.93
19,Pedestrian,20.09
20,Pedestrian,2556.57
21,Pedestrian,17.09
22,Pedestrian,467.02
23,Pedestrian,77.97
24,Pedestrian,47.96
25,Pedestrian,62.67
26,Pedestrian,37.78
27,Pedestrian,37.78
28,Pedestrian,47.61
29,Pedestrian,29.15
30,Pedestrian,29.15
31,Pedestrian,723.7
32,Pedestrian,3038.41
33,Pedestrian,3252.63
34,Pedestrian,2715.8
35,Pedestrian,59.07
36,Pedestrian,59.07
37,Pedestrian,59.07
38,Pedestrian,59.1
39,Bike,1523.34
40,Bike,777.91
41,Bike,2557.74
42,Bike,20.49
43,Bike,684.69
44,Bike,127.83
45,Bike,226.28
46,Bike,551.69
47,Bike,92.91
48,Bike,680.95
49,Bike,141.33
50,Bike,2301.77
51,Bike,581.93
52,Bike,517.08
53,Bike,924.16
54,Bike,2419.41
55,Bike,959.07
56,Bike,993.46
57,Bike,280.81
58,Bike,53.21
59,Bike,219.2
60,Bike,817.79
61,Bike,17.47
62,Road,708.48
63,Road,4406.46
64,Pedestrian,39.1
65,Road,608.96
66,Pedestrian,16.49
67,Pedestrian,67.17
68,Pedestrian,62.67
69,Pedestrian,62.67
70,Pedestrian,64.23
71,Pedestrian,2246.85
72,Pedestrian,58.75
73,Pedestrian,25.49
74,Pedestrian,25.49
75,Pedestrian,56.01
76,Pedestrian,66.73
77,Pedestrian,66.86
78,Pedestrian,78.97
79,Pedestrian,76.1
80,Road,224.23
81,Road,2328.23
82,Road,4145.92
83,Road,370.54
84,Road,641.57
85,Road,1142.23
86,Road,1569.86
87,Road,1508.74
88,Road,1605.51
89,Road,41.56
90,Pedestrian,35.98
91,Road,1054.84
92,Pedestrian,44.98
93,Road,427.4
94,Road,313.62
95,Road,151.01
96,Road,2311.31
97,Road,6607.34
98,Road,8060.19
99,Road,798.24
100,Pedestrian,32.35
101,Road,1607.49
102,Road,2017.16
103,Road,1259.72
104,Tram,5998.82
