Block,area,floors,GFA,RetailArea,OfficeArea
1,292.22,6,1753.32,292.22,1461.1
1,427.29,7,2991.03,427.29,2563.74
1,310.5,7,2173.5,310.5,1863
1,186.4,7,1304.8,186.4,1118.4
1,139.9,4,559.6,139.9,419.7
1,205.98,1,205.98,205.98,0
1,41.98,1,41.98,41.98,0
1,284.93,1,284.93,284.93,0
2,41.98,1,41.98,41.98,0
2,209.9,1,209.9,209.9,0
2,169.61,4,678.44,169.61,508.83
2,239.65,7,1677.55,239.65,1437.9
2,466.57,7,3265.99,466.57,2799.42
2,55.98,5,279.9,55.98,223.92
2,139.93,1,139.93,139.93,0
2,139.93,1,139.93,139.93,0
3,395.82,5,1979.1,395.82,1583.28
3,55.98,4,223.92,55.98,167.94
3,499.76,7,3498.32,499.76,2998.56
3,324.84,5,1624.2,324.84,1299.36
3,499.76,7,3498.32,499.76,2998.56
3,215.9,6,1295.4,215.9,1079.5
3,114.95,3,344.85,114.95,229.9
3,125.93,1,125.93,125.93,0
3,118.94,1,118.94,118.94,0
3,184.9,1,184.9,184.9,0
4,241.88,4,967.52,241.88,725.64
4,287.86,4,1151.44,287.86,863.58
4,312.34,4,1249.36,312.34,937.02
4,251.76,3,755.28,251.76,503.52
4,209.9,1,209.9,209.9,0
4,210.23,1,210.23,210.23,0
5,274.87,6,1649.22,274.87,1374.35
5,241.88,5,1209.4,241.88,967.52
5,384.81,1,384.81,384.81,0
5,384.81,1,384.81,384.81,0
6,745.9,1,745.9,745.9,0
6,384.81,1,384.81,384.81,0
6,384.81,1,384.81,384.81,0
6,722.84,1,722.84,722.84,0
6,274.83,5,1374.15,274.83,1099.32
6,241.84,7,1692.88,241.84,1451.04
6,262.49,1,262.49,262.49,0
6,439.79,1,439.79,439.79,0
6,461.78,1,461.78,461.78,0
7,1649.2,4,6596.8,1649.2,4947.6
7,749.63,2,1499.26,749.63,749.63
7,1094.47,4,4377.88,1094.47,3283.41
7,603.71,3,1811.13,603.71,1207.42
7,404.9,1,404.9,404.9,0
7,359.82,1,359.82,359.82,0
8,918.74,6,5512.44,918.74,4593.7
8,399.82,4,1599.28,399.82,1199.46
8,629.69,6,3778.14,629.69,3148.45
8,965.53,4,3862.12,965.53,2896.59
8,668.99,2,1337.98,668.99,668.99
8,403.26,4,1613.04,403.26,1209.78
9,730.51,1,730.51,730.51,0
9,975.81,1,975.81,975.81,0
9,387.81,1,387.81,387.81,0
9,129.85,1,129.85,129.85,0
9,699.66,3,2098.98,699.66,1399.32
9,539.73,2,1079.46,539.73,539.73
9,579.63,4,2318.52,579.63,1738.89
9,449.78,1,449.78,449.78,0
9,786.72,5,3933.6,786.72,3146.88
9,719.65,3,2158.95,719.65,1439.3
9,314.89,1,314.89,314.89,0
9,359.89,1,359.89,359.89,0
10,312.35,5,1561.75,312.35,1249.4
10,314.84,4,1259.36,314.84,944.52
10,296.85,1,296.85,296.85,0
10,314.84,1,314.84,314.84,0
11,359.82,5,1799.1,359.82,1439.28
11,319.84,1,319.84,319.84,0
11,319.84,1,319.84,319.84,0
11,639.68,2,1279.36,639.68,639.68
11,379.98,5,1899.9,379.98,1519.92
12,391.81,7,2742.67,391.81,2350.86
12,596.7,5,2983.5,596.7,2386.8
12,449.78,3,1349.34,449.78,899.56
12,389.81,6,2338.86,389.81,1949.05
12,387.18,7,2710.26,387.18,2323.08
12,396.94,6,2381.64,396.94,1984.7
12,389.81,4,1559.24,389.81,1169.43
13,494.76,5,2473.8,494.76,1979.04
13,1649.19,3,4947.57,1649.19,3298.38
13,728.17,3,2184.51,728.17,1456.34
13,349.83,1,349.83,349.83,0
13,379.81,1,379.81,379.81,0
13,399.8,1,399.8,399.8,0
14,709.89,2,1419.78,709.89,709.89
14,1101.95,4,4407.8,1101.95,3305.85
14,709.78,2,1419.56,709.78,709.78
14,495.75,1,495.75,495.75,0
14,495.75,1,495.75,495.75,0
14,399.8,1,399.8,399.8,0
14,349.83,1,349.83,349.83,0
14,429.79,1,429.79,429.79,0
15,626.69,3,1880.07,626.69,1253.38
15,449.78,1,449.78,449.78,0
15,895.55,6,5373.3,895.55,4477.75
15,449.78,6,2698.68,449.78,2248.9
16,391.8,6,2350.8,391.8,1959
16,299.85,4,1199.4,299.85,899.55
16,299.85,5,1499.25,299.85,1199.4
16,2102.95,1,2102.95,2102.95,0
16,379.81,1,379.81,379.81,0
17,359.82,5,1799.1,359.82,1439.28
17,539.73,3,1619.19,539.73,1079.46
17,309.01,6,1854.06,309.01,1545.05
17,317.17,4,1268.68,317.17,951.51
17,379.81,1,379.81,379.81,0
17,447.77,1,447.77,447.77,0
18,629.68,5,3148.4,629.68,2518.72
18,659.67,3,1979.01,659.67,1319.34
18,447.77,1,447.77,447.77,0
18,839.58,5,4197.9,839.58,3358.32
18,536.47,2,1072.94,536.47,536.47
18,691.01,6,4146.06,691.01,3455.05
Local market,3798.12,1,3798.12,3798.12,0
Metro,12344.28,1,12344.28,12344.28,0
Gas Station,352.83,1,352.83,352.83,0
Garden,3813.91,1,3813.91,3813.91,0
Parking Lot,1295.36,1,1295.36,1295.36,0
Parking Lot 2,378.39,1,378.39,378.39,0
Parking Lot 2,599.7,1,599.7,599.7,0
