block,area,,,
1,590.61,,,
1,584.72,,,
1,623.06,,,
1,624.7,,,
1,367.46,,,
2,491.53,,,
2,670.12,,,
2,914.7,,,
3,791.64,,,
3,499.76,,,
3,624.7,,,
3,324.84,,,
3,499.76,,,
3,431.81,,,
3,698.28,,,
3,839.6,,,
4,624.69,,,
4,624.7,,,
4,447.78,,,
4,447.78,,,
4,419.8,,,
4,615.7,,,
4,448.78,,,
4,575.72,,,
4,433.55,,,
5,769.63,,,
5,769.63,,,
5,549.73,,,
5,549.73,,,
6,769.63,,,
6,769.63,,,
6,783.62,,,
6,1165.81,,,
6,549.73,,,
6,769.63,,,
7,809.61,,,
7,719.65,,,
7,629.69,,,
7,809.61,,,
7,809.6,,,
8,918.74,,,
8,868.66,,,
8,629.69,,,
8,783.62,,,
9,1279.29,,,
9,799.61,,,
9,785.2,,,
9,719.78,,,
9,629.79,,,
9,984.77,,,
9,1306.04,,,
10,629.69,,,
10,593.71,,,
10,624.69,,,
10,629.69,,,
10,539.73,,,
10,629.69,,,
11,639.68,,,
11,639.68,,,
11,719.65,,,
11,989.51,,,
11,759.96,,,
11,674.95,,,
12,783.61,,,
12,1113.45,,,
12,899.55,,,
12,899.55,,,
12,799.6,,,
12,779.61,,,
12,783.61,,,
12,783.61,,,
12,899.55,,,
12,643.68,,,
12,959.52,,,
13,989.51,,,
13,899.56,,,
13,895.56,,,
13,799.6,,,
13,668.65,,,
14,799.6,,,
14,699.65,,,
14,989.51,,,
14,895.56,,,
14,859.57,,,
15,895.55,,,
15,895.55,,,
15,899.55,,,
15,899.55,,,
16,783.61,,,
16,559.72,,,
16,783.61,,,
16,679.66,,,
16,699.98,,,
16,762.44,,,
16,299.85,,,
16,419.79,,,
17,599.7,,,
17,699.65,,,
17,629.68,,,
17,895.55,,,
17,629.68,,,
17,760.32,,,
18,895.55,,,
18,839.58,,,
18,1399.29,,,
18,536.47,,,
Health Center,719.65,,,
Health Center,1394.2,,,
Health Center,1120.72,,,
Health Center,655.52,,,
Recycle Center,449.78,,,
Recycle Center,804.61,,,
Recycle Center,490.04,,,
Recycle Center,279.86,,,
Geothermal Plant,396.86,,,
Parking Lot 2,4137.91,,,
Metro,12344.28,,,
Local Market,3798.12,,,
Community Center,5560.07,,,
Garden market,1271.81,,,
Parking Lot,4519.06,,,
Gas Station,352.83,,,
