Block,Area,Floors,GFA,Population
1,163.32,7,1143.24,36
1,292.5,6,1755,55
1,348.29,4,1393.16,43
1,312.56,7,2187.92,68
1,624.7,6,3748.2,117
1,279.87,3,839.61,26
1,569.85,4,2279.4,71
1,55.97,3,167.91,5
1,83.96,3,251.88,8
1,411.97,3,1235.91,38
1,180.84,7,1265.88,39
2,55.97,3,167.91,5
2,650.69,4,2602.76,81
2,83.96,3,251.88,8
2,419.8,3,1259.4,39
2,251.88,7,1763.16,55
2,470.15,7,3291.05,102
2,279.86,4,1119.44,35
2,670.12,6,4020.72,125
2,419.8,3,1259.4,39
2,615.7,4,2462.8,77
2,55.97,3,167.91,5
2,279.86,2,559.72,17
3,395.82,5,1979.1,62
3,251.87,3,755.61,23
3,237.89,2,475.78,15
3,55.97,3,167.91,5
3,615.7,4,2462.8,77
3,624.7,6,3748.2,117
3,209.9,4,839.6,26
3,698.28,5,3491.4,109
3,324.84,2,649.68,20
3,215.91,6,1295.46,40
4,473.82,3,1421.46,44
4,252.01,3,756.03,24
4,312.35,4,1249.4,39
4,624.7,6,3748.2,117
4,419.8,5,2099,65
4,433.55,4,1734.2,54
4,405.81,3,1217.43,38
4,223.89,3,671.67,21
4,615.7,6,3694.2,115
4,839.6,8,6716.8,209
4,447.78,5,2238.9,70
4,447.78,5,2238.9,70
4,287.86,4,1151.44,36
4,206.9,4,827.6,26
4,419.8,6,2518.8,78
5,274.87,6,1649.22,51
5,307.85,4,1231.4,38
5,769.63,4,3078.52,96
5,769.63,4,3078.52,96
5,1099.47,4,4397.88,137
6,769.63,3,2308.89,72
6,769.63,4,3078.52,96
6,1165.81,4,4663.24,145
6,783.62,6,4701.72,146
6,879.57,4,3518.28,109
6,923.55,5,4617.75,144
6,274.91,5,1374.55,43
6,527.77,6,3166.62,98
7,809.61,7,5667.27,176
7,641.17,4,2564.68,80
7,719.65,7,5037.55,157
7,629.69,5,3148.45,98
7,809.61,4,3238.44,101
7,809.6,5,4048,126
8,783.62,3,2350.86,73
8,868.66,4,3474.64,108
9,719.78,5,3598.9,112
9,629.79,5,3148.95,98
9,984.77,3,2954.31,92
9,1306.04,3,3918.12,122
9,605.05,3,1815.15,56
9,799.61,3,2398.83,75
9,598.05,2,1196.1,37
10,629.69,3,1889.07,59
10,629.69,4,2518.76,78
10,539.73,4,2158.92,67
10,380.17,4,1520.68,47
10,312.35,5,1561.75,49
10,593.71,3,1781.13,55
11,379.98,5,1899.9,59
11,989.51,4,3958.04,123
11,674.95,3,2024.85,63
11,359.82,5,1799.1,56
11,639.68,3,1919.04,60
11,639.68,3,1919.04,60
12,391.81,7,2742.67,85
12,516.74,5,2583.7,80
12,339.83,3,1019.49,32
12,409.8,3,1229.4,38
12,899.55,6,5397.3,168
12,899.55,6,5397.3,168
12,799.6,7,5597.2,174
12,409.8,4,1639.2,51
12,389.81,6,2338.86,73
12,395.52,7,2768.64,86
12,959.52,5,4797.6,149
12,643.68,7,4505.76,140
12,899.55,6,5397.3,168
12,279.86,4,1119.44,35
12,386.43,6,2318.58,72
13,494.76,4,1979.04,62
13,699.66,2,1399.32,44
13,895.56,6,5373.36,167
13,699.65,4,2798.6,87
13,899.56,4,3598.24,112
13,759.62,4,3038.48,94
13,799.6,6,4797.6,149
13,668.65,6,4011.9,125
14,699.65,5,3498.25,109
14,799.6,6,4797.6,149
14,699.65,3,2098.95,65
14,989.51,5,4947.55,154
14,539.73,3,1619.19,50
14,895.56,6,5373.36,167
14,859.57,5,4297.85,134
15,895.55,6,5373.3,167
15,699.65,4,2798.6,87
15,899.55,6,5397.3,168
15,899.55,6,5397.3,168
15,406.8,3,1220.4,38
16,199.9,1,199.9,6
16,199.9,3,599.7,19
16,299.85,4,1199.4,37
16,783.61,5,3918.05,122
16,419.79,3,1259.37,39
16,199.9,1,199.9,6
16,699.98,4,2799.92,87
16,569.29,3,1707.87,53
16,699.65,3,2098.95,65
16,661.84,3,1985.52,62
16,762.44,5,3812.2,119
16,559.72,4,2238.88,70
16,391.8,6,2350.8,73
16,299.85,4,1199.4,37
16,379.81,5,1899.05,59
17,760.32,6,4561.92,142
17,564.02,4,2256.08,70
17,619.69,4,2478.76,77
17,895.55,7,6268.85,195
17,239.88,5,1199.4,37
17,699.65,6,4197.9,131
17,314.84,6,1889.04,59
18,895.55,6,5373.3,167
18,699.65,4,2798.6,87
18,699.65,4,2798.6,87
18,708.92,6,4253.52,132
